title,revenue_worldwide,revenue_domestic,domestic_pct,revenue_foreign,foreign_pct,release_year,rank,title_key
Nobody's Fool,33705333.0,31713110.0,94.1,1992223.0,5.9,2018,157.0,nobody's fool
Baaghi 2,33139063.0,1319579.0,4.0,31819484.0,96.0,2018,158.0,baaghi 2
The Hurricane Heist,32517248.0,6115825.0,18.8,26401423.0,81.2,2018,159.0,the hurricane heist
All About Me,31920159.0,0.0,0.0,31920159.0,100.0,2018,160.0,all about me
Bad Times at the El Royale,31882724.0,17839115.0,56.00000000000001,14043609.0,44.0,2018,161.0,bad times at the el royale
Beautiful Boy,31711319.0,7649973.0,24.1,24061346.0,75.9,2018,162.0,beautiful boy
Hunter Killer,31672678.0,15767460.0,49.8,15905218.0,50.2,2018,163.0,hunter killer
Super Troopers 2,31626386.0,30617396.0,96.8,1008990.0,3.2,2018,164.0,super troopers 2
The Strangers: Prey at Night,31039126.0,24586708.0,79.2,6452418.0,20.8,2018,165.0,the strangers: prey at night
Gintama 2: Rules are Made to be Broken,30896653.0,0.0,0.0,30896653.0,100.0,2018,166.0,gintama 2: rules are made to be broken
The Way of the Bug,30355804.0,0.0,0.0,30355804.0,100.0,2018,167.0,the way of the bug
Clergy,30114115.0,0.0,0.0,30114115.0,100.0,2018,168.0,clergy
Ice,29806210.0,0.0,0.0,29806210.0,100.0,2018,169.0,ice
Free Solo,29390279.0,17541090.0,59.699999999999996,11849189.0,40.3,2018,170.0,free solo
Dark Figure of Crime,29176133.0,0.0,0.0,29176133.0,100.0,2018,171.0,dark figure of crime
Pad Man,29045020.0,1670192.0,5.8,27374828.0,94.2,2018,172.0,pad man
Mirai,28756961.0,812794.0,2.8,27944167.0,97.2,2018,173.0,mirai
Default,27694043.0,203775.0,0.7,27490268.0,99.3,2018,174.0,default
One Cut of the Dead,27590180.0,52406.0,0.2,27537774.0,99.8,2018,175.0,one cut of the dead
The Happytime Murders,27506452.0,20706452.0,75.3,6800000.0,24.7,2018,176.0,the happytime murders
Midnight Sun,27365467.0,9561064.0,34.9,17804403.0,65.1,2018,177.0,midnight sun
VIP Policeman,27222681.0,0.0,0.0,27222681.0,100.0,2018,178.0,vip policeman
My Neighbor Totoro 2018 Re0release,27083857.0,1144649.0,4.2,25939208.0,95.8,2018,179.0,my neighbor totoro 2018 re0release
The Faces of My Gene,26796279.0,0.0,0.0,26796279.0,100.0,2018,180.0,the faces of my gene
Badhaai Ho,26125610.0,0.0,0.0,26125610.0,100.0,2018,181.0,badhaai ho
Hichki,26055222.0,330279.0,1.3,25724943.0,98.7,2018,182.0,hichki
Champions,25962612.0,0.0,0.0,25962612.0,100.0,2018,183.0,champions
White Boy Rick,25957482.0,24011188.0,92.5,1946294.0,7.5,2018,184.0,white boy rick
"Paul, Apostle of Christ",25915966.0,17560475.0,67.8,8355491.0,32.2,2018,185.0,"paul, apostle of christ"
Keys to the Heart,25375866.0,75134.0,0.3,25300732.0,99.7,2018,186.0,keys to the heart
Stan & Ollie,24420923.0,5470235.0,22.4,18950688.0,77.6,2018,187.0,stan & ollie
The Witch: Part 1 0 The Subversion,24340302.0,0.0,0.0,24340302.0,100.0,2018,188.0,the witch: part 1 0 the subversion
The Accidental Detective 2: In Action,24243825.0,179045.0,0.7,24064780.0,99.3,2018,189.0,the accidental detective 2: in action
Killing for the Prosecution,23929620.0,0.0,0.0,23929620.0,100.0,2018,190.0,killing for the prosecution
